iter	Passed	Remaining
838	14807	2841
839	14823	2823
840	14839	2805
841	14856	2787
842	14875	2770
843	14891	2752
844	14908	2734
845	14927	2717
846	14945	2699
847	14968	2683
848	14988	2665
849	15005	2647
850	15021	2630
851	15039	2612
852	15057	2594
853	15075	2577
854	15092	2559
855	15109	2541
856	15126	2524
857	15144	2506
858	15160	2488
859	15177	2470
860	15194	2452
861	15214	2435
862	15230	2417
863	15249	2400
864	15265	2382
865	15282	2364
866	15303	2347
867	15321	2329
868	15340	2312
869	15357	2294
870	15374	2277
871	15392	2259
872	15409	2241
873	15426	2223
874	15443	2206
875	15461	2188
876	15479	2171
877	15498	2153
878	15517	2136
879	15536	2118
880	15553	2100
881	15570	2083
882	15591	2065
883	15611	2048
884	15628	2030
885	15643	2012
886	15659	1994
887	15675	1977
888	15692	1959
889	15708	1941
890	15724	1923
891	15742	1906
892	15760	1888
893	15777	1870
894	15794	1853
895	15812	1835
896	15829	1817
897	15847	1800
898	15864	1782
899	15882	1764
900	15900	1747
901	15917	1729
902	15935	1711
903	15956	1694
904	15973	1676
905	15988	1658
906	16003	1640
907	16020	1623
908	16040	1605
909	16057	1588
910	16075	1570
911	16091	1552
912	16107	1534
913	16125	1517
914	16144	1499
915	16165	1482
916	16186	1465
917	16204	1447
918	16221	1429
919	16238	1412
920	16255	1394
921	16274	1376
922	16292	1359
923	16312	1341
924	16330	1324
925	16346	1306
926	16365	1288
927	16384	1271
928	16402	1253
929	16418	1235
930	16438	1218
931	16455	1200
932	16472	1182
933	16496	1165
934	16514	1148
935	16531	1130
936	16559	1113
937	16576	1095
938	16593	1077
939	16612	1060
940	16632	1042
941	16650	1025
942	16667	1007
943	16685	989
944	16704	972
945	16725	954
946	16742	936
947	16760	919
948	16776	901
949	16791	883
950	16809	866
951	16826	848
952	16842	830
953	16861	813
954	16879	795
955	16898	777
956	16916	760
957	16933	742
958	16950	724
959	16969	707
960	16985	689
961	17001	671
962	17020	653
963	17037	636
964	17052	618
965	17069	600
966	17086	583
967	17103	565
968	17125	547
969	17142	530
970	17160	512
971	17177	494
972	17194	477
973	17211	459
974	17227	441
975	17243	424
976	17263	406
977	17280	388
978	17301	371
979	17323	353
980	17342	335
981	17359	318
982	17376	300
983	17396	282
984	17412	265
985	17429	247
986	17447	229
987	17464	212
988	17481	194
989	17498	176
990	17514	159
991	17533	141
992	17552	123
993	17569	106
994	17587	88
995	17604	70
996	17621	53
997	17641	35
998	17659	17
999	17676	0
